nom;url;arrival_url
Le Nouvelliste;https://www.lenouvelliste.ch/;https://www.lenouvelliste.ch/
La Gazette de Martigny;https://www.lagazette.ch/;https://www.lagazette.ch/
Le Journal de Sierre;https://www.lejds.ch/;https://www.lejds.ch/
France Antilles;https://www.franceantilles.fr/;https://www.franceantilles.fr/
France Guyane;https://www.franceguyane.fr/;https://www.franceguyane.fr/
Le Journal de l’Île de la Réunion;;
Slate.fr;http://www.slate.fr/;http://www.slate.fr/
Atlantico.fr;https://atlantico.fr/;https://atlantico.fr/
La Tribune;https://www.latribune.fr/;https://www.latribune.fr/
i24 News;https://www.i24news.tv/;https://www.i24news.tv/fr
Elle;https://www.elle.fr/;https://www.elle.fr/
Le Nouveau Magazine littéraire;;
RMC Story;https://www.rmcbfmplay.com/;https://www.rmcbfmplay.com/chaine/rmc-story
Var-Matin;https://www.varmatin.com/;https://www.varmatin.com/
Monaco-Matin;https://www.monacomatin.mc/;https://www.monacomatin.mc/
Télé-Loisirs;;
Gala;https://www.gala.fr/;https://www.gala.fr/
Voici;https://www.voici.fr/;https://www.voici.fr/
Femme Actuelle;https://www.femmeactuelle.fr/;https://www.femmeactuelle.fr/
National Geographic;https://www.nationalgeographic.fr/;https://www.nationalgeographic.fr/
Geo;https://www.geo.fr/;https://www.geo.fr/
Paris-Turf;https://www.paris-turf.com/;https://www.paris-turf.com/
Télé 7 Jours;;
La Première;https://la1ere.francetvinfo.fr/;https://la1ere.francetvinfo.fr/
France Catholique;https://www.france-catholique.fr/;https://www.france-catholique.fr/
Franc-Tireur;https://www.franc-tireur.fr/;https://www.franc-tireur.fr/
Néon;https://www.neonmag.fr/;https://www.neonmag.fr/
